,Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
1144,Senior Engineer,"Kota, Rajasthan",Full Time,Construction Engineering Department,7 Jan 2023,4.0,2.0,4.0,4.0,5.0,2.0,3.0,opportunities to learn if you show interest you can get opportunities for whatever work profile you like good salary and accommodation facilities if deployed at project site good skill development training good appraisal only if you have good connection with your boss,work life balance is poor especially if you are deployed at site location is a big disadvantage in project site getting a transfer to desired location is highly improbable if you re boss doesn t like you no hope for good appraisal no matter how hard you work
1145,Construction Management,"Bhopal, Madhya Pradesh",Full Time,Construction / Manufacturing Department,1 Jan 2023,3.0,2.0,3.0,4.0,5.0,4.0,3.0,being a giant in construction industry and the complex jobs they acquire you will be thrilled by the plethoric of knowledge expertise you will be gaining in dealing the complexities in different phases of the project,work life balance needs to work upon however this is understandable as l t has to compete in the domestic market with competitors whose overhead are much less so to get the most of the available resources they intent to work 12 14 his a day
1146,Manager Hrbp,Chennai,Full Time,HR Business Advisory Department,2 May 2023,2.0,3.0,1.0,3.0,4.0,1.0,2.0,5 days working but still we are required when business meetings are held,no proper culture fixed by leaders and seems to have zero employee engagement training for employees long branch visits and micromanagement done by superiors with no learning s
1147,Assistant Manager,Not Permanent And Temporary Sites,Full Time,Plant and Machinery Department,9 Feb 2023,5.0,4.0,5.0,5.0,5.0,4.0,4.0,top management is easy unapproachable irrespective of cares and position multiple responsibilities are assigned and providing opportunities to develop the skill in various functions and operations good skilled subordinates and required resources are provided to execute the works at site salary and other benefits are looks sound while comparing other competitors n construction business,working place mostly remote locations frequent change of working place
1148,Quality Project Engineer,Chennai,Full Time,quality engineer Department,3 Mar 2023,3.0,3.0,1.0,5.0,4.0,1.0,3.0,salary benefits,mainly he policies not following there is no information and they are transferring to another projects admits and accounts plays more politics there is no response there is no good accommodation and plays more politics promotions take more time suddenly they will tell like u r reputed to another project you should go in 2 or 3 days
1149,Qc Engineer,"Surat, Gujarat",Contractual,Production & Manufacturing Department,5 Apr 2023,4.0,3.0,5.0,3.0,4.0,4.0,2.0,they always tries to cultivate new environment technology ideas for people which gives motivation to people to work for them,they must think about working hours bus i personally feel that people working on lower position work for then they paid
1150,Assistant Manager Quality,Rajasthan,Full Time,QA/QC CIVIL.  Department,8 May 2023,4.0,2.0,4.0,3.0,5.0,2.0,2.0,good company if u don t think for fast growth and opportunities,worst on the time of appraisal and promotion if you are a c don t prefer to come in waste water in it s totally waste preference given fo favourite lots of politics
1151,Senior Construction Manager,Chennai,Full Time,Construction / Manufacturing Department,7 Feb 2023,3.0,1.0,5.0,3.0,3.0,1.0,1.0,chances for learning and development,political and egotistic approaches of some stupid bones recognition is very poor now a days knowledge resources utilization is very less due to political dramas very poor pay scale overcoat projects are killing staffs physical and mental abilities metal torture from management delayed decision making
1152,Collections Manager,"Surat, Gujarat",Full Time,Finance Department,7 May 2023,4.0,5.0,1.0,5.0,1.0,1.0,5.0,company is fantastic very fine brand name in market as my experience,company is awesome but seniors are very big politician who are working with us like they dont know our value when we are on field they reach the number s
1153,Construction Manager,"New Delhi, Delhi",Full Time,Construction Engineering Department,9 Apr 2023,5.0,1.0,5.0,4.0,4.0,5.0,3.0,good company rating policy wrong whom company follow every year 20 staff rating down it is not fine,company follow wrong method for staff rating every year 10 to 20 staff take zero incitement or 1000 only very bed system
1154,Site Engineer,L&T GEO Ennore Chennai KPL/RORO GCB -2,Contractual,Construction Engineering Department,4 Apr 2023,5.0,3.0,4.0,2.0,2.0,3.0,5.0,quality and safety and i love brand name of l t,permanent staffs ok but departmental staff there is no respects for engineers even office boy also not respect to the engineers departmental engineering persons working like labours there is no benefits and enjoyment
1155,Assistant Manager Planning,"Vijayawada, Andhra Pradesh",Full Time,Construction Engineering Department,1 Mar 2023,3.0,1.0,3.0,3.0,4.0,2.0,3.0,brand and safety culture and nothing is special everything is depends on you bosse if he has good leadership and humanity quality then he will make their team happy and run project with good work environment which is possible only 15 20,working hours no lifestyle lengthy internal process he poor administration etc etc
1156,Human Resource Management Professional,"Kolkata, West Bengal",Full Time,Accounting & Taxation Department,4 Nov 2022,1.0,2.0,2.0,3.0,3.0,1.0,2.0,company culture is pathetic people are disgusting they don t value your thoughts and won t even evolve in digitalization they are still in was does a lot of paper work they follow hierarchy system i e top down approach,they have punch in but no punch out system but your team is enough to record at what time you are out of office or how many times they are not at their seat the punch is time is 9 there is a grace period of 45 mind in a month but individual days it s 9 15 otherwise they will deduce half day s leave and if it exceeds 45 mind in a month then it s count as low you can not take leave in first 11 months of joining no employee engagement no team building activities no celebration and no fun activities they don t provide parking to new employees one has to wait for 2 3 years to get a parking spot they hire you first then they decide your era and role afterwards which has happened to me they gave me offer letter 3 4 days after i joined no smooth boarding takes place takes weeks to generate email id and employee no after joining and no handholding read more
1157,Sr. Environmental Engineer,"Bharuch, Gujarat",Contractual,Community Health & Safety Department,4 Mar 2023,5.0,2.0,4.0,4.0,5.0,4.0,3.0,compare to other companies salary is always on time l t rules are very good from ho level,lack of facility at site site transport is very poor for staff if you don t know the benefits of l t rules and regulations jobs responsible person not going to tell you
1158,Assistant Construction Manager,Chennai,Full Time,Construction Engineering Department,3 Mar 2023,4.0,2.0,3.0,3.0,4.0,4.0,3.0,biggest construction company in india great talents and infinite resources capacity of taking any challenges,1 favours 2 huge pay difference between same cares 3 great management system but people s are diluting it 5 employee performance rating system is absolutely cap
1159,Sr Engineer Civil,"Kolkata, West Bengal",Full Time,Construction Engineering Department,6 Jan 2023,5.0,1.0,5.0,4.0,4.0,5.0,4.0,gives opportunities to perform perfect place to get practical knowledge food accommodations are provided by the company so you need not to worry about it at all quality of food is good assertion work culture is followed hope you get a good senior boss you ll shine pretty well,work life balance let s not even talk about it here the motto is work is life
1160,Scm Officer,"Coimbatore, Tamil Nadu",Full Time,SCM & Logistics Department,0 Mar 2023,4.0,3.0,5.0,4.0,3.0,5.0,4.0,that company was good learning company atmosphere and culture was very good and management decisions and activities are very very good,only one variation is there they are supratinge to contract employees and company employees
1161,Plant And Machinery Engineer,"Kolkata, West Bengal",Full Time,"Operations, Maintenance & Support Department",6 May 2023,4.0,3.0,4.0,5.0,5.0,4.0,2.0,good working system and procedures,yearly appraisal and incitement are not done as per expectation even after efficient and productive working it s is totally based on personal relationship
1162,Assistant Manager,Hyderabad/Secunderabad,Full Time,Construction / Manufacturing Department,0 Dec 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nothing till now,1 no work life balance 2 12 13 hours of shift from morning 8 30 to night 8 30 3 too much politics 4 norm of this company is to be in office till your senior is in office 5 6 days working sometimes even on sundays 6 no support from he they will not even reply to your mails or messages 7 mental health go for toss
1163,Assistant Manager,"Nepalgunj, Mid-Western Development Region",Full Time,Business Process Quality Department,4 Feb 2023,2.0,1.0,3.0,2.0,3.0,1.0,1.0,nothing to say much its my worst choice to choose l t it d in in my career,l t will hire you for a role of engineer and they will start involving you in all the roles including administration and he policy are just for document sake they ll never be implements and he department is worst worst worst
1164,Senior Electrical Engineer,"Chennai, Tamil Nadu",Full Time,Design & Development Department,9 Oct 2022,1.0,1.0,3.0,1.0,4.0,1.0,1.0,prompt salary on 28 th of every month,bad work life balance low etc recognition for experience rather than expertise slow growth it is just surviving with its brand value 80 years legacy it is not the same company which it was 15 years back sons for only less than 1 employees it doesn t have american or european customer base hence revenues are less nowadays lot of competitors have come hence it tries to bid loss making projects thinking that government will help lie is the major slaveholder it is trying to mould into a teach company it is better to start career in established teach companies rather than choosing a brick motor turned teach company no indian or nation will serve more than 2 years after joining few civil genius will shed there life for this firm no work from home policy it is trying to increase it portfolio to stand in the market note think about your personal life family well wishes and professional growth rather than prompt monthly salary read more
1165,Assistant Manager   (working remotely),,Full Time,Construction Engineering Department,4 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,large tour ltd company work plan is very good all work at site proper planning and monthly target achieved successfully,dislike about working at large tour site work safety department is very good
1166,Production Engineer,"Bengaluru/Bangalore, Karnataka",Full Time,Hardware Department,7 May 2023,3.0,1.0,3.0,4.0,5.0,3.0,1.0,there is good salary and they won t fire until you do something wrong or illegal,street is lot and no tidings leave office they say 9 6 job but we need to do least 12 hours that s what they do
1167,Executive Ir,"Jagdalpur, Chhattisgarh",Full Time,Employee Relations Department,8 May 2023,4.0,2.0,4.0,3.0,4.0,3.0,3.0,gives you great opportunities and work experience,there is no work life balance working hours are ridiculously long and extra and we have to work on sundays and holidays also there is no time for family and personal work
1168,Lead (M1A)- Industrial Relation & Administration,"Visakhapatnam, Andhra Pradesh",Full Time,Administration Department,0 Dec 2022,4.0,3.0,4.0,4.0,4.0,4.0,4.0,l t is really a nice company and as per your capabilities ability strength work knowledge the talent acquisition team selected the employees that i like the most here and feel very happy to work here,nothing but i think employee should get work based on their potential and strength so that employee can perform well and proof him self
1169,Production Engineer,"Puducherry/Pondicherry, Puducherry",,Production Department,7 Sep 2022,4.0,3.0,5.0,4.0,3.0,3.0,3.0,i like company standards and procedures to work in a year we will go through lots of training program salary and leave benefits are there work pressure is depends on which kept we are working began if we are in service department it is very flexible and good but if we are in production kept we only the slaves to them,we don t get appreciation for our work due to some physics managers also we don t get appraisal amount if we aren t king sang for our managers that s the thing we have to worry
1170,Assistant Construction Manager,Mumbai,Full Time,Construction Engineering Department,6 May 2023,4.0,2.0,5.0,4.0,5.0,3.0,3.0,1 system driven company 2 lot of training for staff development 3 job security 4 on time payment,1 work life balance is poor
1171,Construction Manager,"Bengaluru/Bangalore, Karnataka",Full Time,Construction Engineering Department,0 Sep 2022,4.0,3.0,4.0,3.0,4.0,3.0,3.0,very big etc contractor in india get knowledge through working in big projects timely getting monthly salary every year appraisal system is there,12 and above hours job management forced us to worked in sunday and holidays work life balance is critical here appraisal system is not genuine here they give rating for their own people transfer to all over india but some people working in same region because of influence huge politics and ego with top management ll people
1172,Quality Engineer,"Navi Mumbai, Maharashtra",Full Time,General Insurance Department,8 May 2023,2.0,3.0,2.0,3.0,5.0,3.0,2.0,nothing is liking except job security,almost all projects around more than 90 are short term projects every after 6 7 months will be bench for sure
1173,Sr. Engineer Systems,"Faridabad, Haryana",Full Time,IT Support Department,7 May 2023,2.0,2.0,3.0,2.0,3.0,2.0,2.0,training to its employees,he policy is not transparent as different staff have different policies even in the same position salary structure and rating system is very poor
