,Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
4699,Project Manager,Allahabad/Prayagraj,,Construction Engineering Department,4 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,everything,nothing
4700,Dgm Sales And Marketing,AMN Tower Mumbai,Full Time,,6 Jun 2022,4.0,5.0,4.0,3.0,5.0,4.0,4.0,new opportunity new job role,a smooth process should be there starting from new leads to customer commercial proposal
4701,Graduate Engineer Trainee,Hyderabad,Full Time,,7 May 2022,2.0,1.0,2.0,3.0,5.0,1.0,3.0,seniors are really helpful and suppurative,terrible work culture
4702,Electrical Engineer,India,Full Time,Construction Engineering Department,0 Mar 2022,1.0,2.0,1.0,3.0,4.0,3.0,4.0,good working place work culture management and company policies it s company are so good work plate form,no anything dislike about working at this company
4703,Quality Control Inspector Engineer,Surat,,Quality Control & Quality Assurance Department,8 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,my point of view l t means learning and training center gives greatest opportunities and excellent professional platform with l t family,everything are awesome
4704,Senior Service Engineer,Singrauli,,Construction / Manufacturing Department,8 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,company policy should be more strict,good working culture and full support
4705,Maintenance Engineer,Ahmedabad,,Construction Engineering Department,3 May 2022,4.0,4.0,4.0,5.0,4.0,4.0,4.0,no comments,its good to work here people team and environment is excellent
4706,Senior Manager Information Technology,Delhi,,,4 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,appraisal system it has to be updated,work culture
4707,Hr & Administration Executive,Bhubaneswar,,HR Operations Department,8 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,salary structure,main am warne mein but hi acacia feel war rah run
4708,Safety Officer,Mumbai Kalyan,,Health & Safety Department,9 Jun 2022,5.0,5.0,5.0,5.0,4.0,4.0,4.0,main let company mein am warne ke like but acacia law rah had,good as professional do all ok
4710,Construction Manager,Mumbai,Full Time,Construction Engineering Department,9 Jun 2022,5.0,5.0,5.0,5.0,4.0,5.0,5.0,good management and company policies,in l t company discipline bending understanding is most important for company this is the thumb rule in l t construction that s i like l t company for these things
4711,Qa Qc Welding Supervisor,Maharashtra,Full Time,,2 Mar 2022,4.0,3.0,4.0,2.0,5.0,4.0,5.0,timing process 12 hours,good
4712,Mechanical Trainee,Madhya Pradesh,,Construction Engineering Department,9 May 2022,5.0,2.0,3.0,1.0,1.0,1.0,1.0,good environmental to work in lots,it is a typical it company not an analysis or consulting company compensation is very poor and below par increament
4713,Tech Lead,Bengaluru/Bangalore,,Operations Support Department,2 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,everything,nothing
4714,Engagement Manager,Pune,,Business Intelligence & Analytics Department,1 Apr 2022,1.0,3.0,1.0,1.0,4.0,1.0,1.0,first company have everexperienced,my team and the environment
4715,Accounts And Finance Executive,Ghaziabad,,Finance Department,7 Jun 2022,1.0,1.0,2.0,1.0,3.0,1.0,3.0,my work life balance and lack of ownership from related slaveholders,no commands
